content_hash_id,refresh_score,gsc_clicks,gsc_impressions,gsc_avg_position,days_since_update,priority
content_402d5b7f8bd4b9f9,1.0,0,176,13.840909090909092,-13,High
content_553fae3e2670aabc,1.0,0,0,,97,High
content_c18e6664272746e1,1.0,0,47,11.404255319148936,-23,High
content_055a8565bae6c262,1.0,0,0,,97,High
content_c70207181300ed03,1.0,0,0,,97,High
content_7fcfc4826a61faf8,1.0,0,0,,97,High
content_8b8de688e905046b,1.0,1,66,20.59090909090909,97,High
content_17029398e135b760,1.0,0,55,15.872727272727273,-26,High
content_5121a5e7368f816c,1.0,0,93,27.440860215053764,-13,High
content_576c5149c3eeb30d,1.0,0,108,13.324074074074074,-26,High
content_2bad60fce3d8d872,1.0,0,0,,97,High
content_726571c4a2d3bba7,1.0,0,172,4.895348837209302,-24,High
content_eb4cf4b26d451bb6,1.0,0,0,,97,High
content_694691f4a5476095,1.0,0,27,12.407407407407407,97,High
content_1e5b37c2297d2474,1.0,0,32,28.0625,13,High
content_b7a17cbe47186466,1.0,0,15,7.933333333333334,97,High
content_279ff41cc5f39a99,1.0,0,3,24.333333333333332,97,High
content_3c5d16a9e825f753,1.0,0,29,20.586206896551722,-24,High
content_a00a3ad66db41764,1.0,0,53,8.849056603773585,-22,High
content_beedaa96e88cf477,1.0,0,181,43.9171270718232,97,High
content_cb71c12eb579b80c,1.0,0,1,11.0,97,High
content_025e269325533792,1.0,0,30,46.5,97,High
content_5f4e0f534ef2bd48,1.0,0,25,5.4,-27,High
content_aa1cc7d0f342e4ae,1.0,0,194,30.603092783505154,97,High
content_d082a7189a7f45b5,1.0,0,32,16.375,-24,High
content_0f78565a7ed3409a,1.0,0,21,44.095238095238095,97,High
content_998f4340256ed730,1.0,0,248,11.536290322580646,-13,High
content_8ab192c6202168d9,1.0,0,1,10.0,97,High
content_fc313f9eccdc9ba7,1.0,0,19,44.10526315789474,97,High
content_39e00e78d5b7fb68,1.0,0,45,7.355555555555555,1,High
content_fe1cbee306df8029,1.0,0,0,,97,High
content_28ddf631660b37f0,1.0,0,29,3.4827586206896552,13,High
content_e98b778ec3b0f50b,1.0,0,8,18.75,97,High
content_203ffbabc17b01d2,1.0,0,0,,97,High
content_514a7c41c6aedbca,1.0,0,42,7.928571428571429,13,High
content_5287bc1ea19798de,1.0,0,154,9.532467532467532,-22,High
content_8ee4405d9cf2bbb3,1.0,0,0,,97,High
content_56636a470762a2f3,1.0,0,0,,97,High
content_312993e71b92dea1,1.0,0,0,,97,High
content_5285e6657be95795,1.0,0,18,4.666666666666667,97,High
content_b0fbb9bf697be03c,1.0,0,0,,97,High
content_d09e71d183a89aa8,1.0,0,3,40.0,97,High
content_12f36369f2d568c8,1.0,0,19,50.8421052631579,97,High
content_c4b995124e06ded1,1.0,0,58,23.344827586206897,-23,High
content_e37bf19aeb64bc6d,1.0,0,234,21.568376068376068,-13,High
content_75aa931ea753bbeb,1.0,0,0,,97,High
